Filename,Config,OCR_module,LLM_model,Accuracy,Precision,Recall,F1_Score,PP_Time,OCR_Time,LLM_Time,Time
trome#2015-02-13#01,4,rolmocr,phi4,0.26666666666666666,1.0,0.26666666666666666,0.42105263157894735,31.045281171798706,61.80549645423889,12.138602495193481,104.98938012123108
trome#2017-03-11#26,37,rolmocr,phi4,0.0,0.0,0.0,0.0,0.026968955993652344,115.63586235046387,7.245046615600586,122.9078779220581
peru21#2016-08-11#16,33,nanonets,phi4,0.08333333333333333,1.0,0.08333333333333333,0.15384615384615385,0.031697750091552734,200.10575127601624,7.6170477867126465,207.75449681282043
publimetro#2016-10-13#01,13,rolmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,29.424010515213013,70.16142511367798,27.300004482269287,126.88544011116028
ojo#2015-04-01#01,25,olmocr,phi4,0.0,0.0,0.0,0.0,0.11575078964233398,0.0,0.0,0.11575078964233398
trome#2015-02-13#01,31,rolmocr,phi4,0.4,1.0,0.4,0.5714285714285714,28.414876699447632,47.61489939689636,4.941049814224243,80.97082591056824
peru21#2020-09-12#09,14,rolmocr,phi4,0.0,0.0,0.0,0.0,147.65086388587952,2595.3754603862762,1.8958425521850586,2744.922166824341
ojo#2020-11-10#07,1,olmocr,phi4,0.4444444444444444,1.0,0.4444444444444444,0.6153846153846154,0.0029449462890625,0.0,0.0,0.0029449462890625
peru21#2018-06-02#01,40,nanonets,phi4,0.25,1.0,0.25,0.4,29.96722435951233,10.929938554763794,9.016300678253174,49.9134635925293
ojo#2017-06-07#11,30,nanonets,phi4,0.0,0.0,0.0,0.0,0.01250147819519043,200.10585474967957,12.021920680999756,212.1402769088745
peru21#2013-08-07#01,11,rolmocr,phi4,0.0,0.0,0.0,0.0,0.0036225318908691406,52.3554482460022,5.459295272827148,57.818366050720215
ojo#2020-11-10#07,36,olmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.02333235740661621,0.0,0.0,0.02333235740661621
ojo#2017-06-07#11,31,rolmocr,phi4,0.0,0.0,0.0,0.0,25.810511589050293,3449.7808237075806,6.846804857254028,3482.438140153885
ojo#2015-04-01#01,39,nanonets,phi4,0.0,0.0,0.0,0.0,0.027459144592285156,11.415106296539307,27.69262456893921,39.1351900100708
trome#2020-03-13#04,21,nanonets,phi4,0.0,0.0,0.0,0.0,0.004896640777587891,39.93643140792847,0.7367088794708252,40.67803692817688
ojo#2020-11-10#07,21,nanonets,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.003671884536743164,22.073944568634033,23.249419927597046,45.32703638076782
peru21#2016-08-11#16,11,olmocr,phi4,0.5,1.0,0.5,0.6666666666666666,0.021656513214111328,0.0,0.0,0.021656513214111328
publimetro#2019-10-04#08,43,olmocr,phi4,0.0,0.0,0.0,0.0,0.1193990707397461,0.0,0.0,0.1193990707397461
trome#2021-03-02#02,31,rolmocr,phi4,0.14285714285714285,1.0,0.14285714285714285,0.25,21.76807475090027,124.28565001487732,20.71228313446045,166.76600790023804
trome#2015-02-13#01,11,rolmocr,phi4,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,0.003874540328979492,46.57045650482178,6.331798553466797,52.906129598617554
trome#2021-03-02#02,26,nanonets,phi4,0.23809523809523808,1.0,0.23809523809523808,0.38461538461538464,0.029536962509155273,101.78962635993958,30.573012113571167,132.3921754360199
trome#2015-02-13#01,5,nanonets,phi4,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,117.4066743850708,16.029237747192383,5.040566682815552,138.47647881507874
peru21#2020-09-12#09,31,rolmocr,phi4,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,28.55849266052246,39.94861912727356,6.5199949741363525,75.02710676193237
trome#2021-03-02#02,15,nanonets,phi4,0.047619047619047616,1.0,0.047619047619047616,0.09090909090909091,0.004680633544921875,94.8936185836792,6.39833402633667,101.29663324356079
ojo#2017-06-07#11,2,nanonets,phi4,0.08333333333333333,1.0,0.08333333333333333,0.15384615384615385,0.00971078872680664,54.0188524723053,22.181628942489624,76.21019220352173
ojo#2017-06-07#11,40,nanonets,phi4,0.08333333333333333,1.0,0.08333333333333333,0.15384615384615385,28.094048976898193,200.61183643341064,18.75749659538269,247.46338200569153
trome#2017-03-11#26,14,olmocr,phi4,0.0,0.0,0.0,0.0,99.7496600151062,0.0,0.0,99.7496600151062
trome#2020-03-13#04,6,olmocr,phi4,0.06666666666666667,1.0,0.06666666666666667,0.125,0.007746458053588867,0.0,0.0,0.007746458053588867
ojo#2017-06-07#11,38,rolmocr,phi4,0.0,0.0,0.0,0.0,0.02124476432800293,53.59873843193054,8.16173005104065,61.781713247299194
peru21#2016-08-11#16,28,olmocr,phi4,0.0,0.0,0.0,0.0,0.01793813705444336,0.0,0.0,0.01793813705444336
ojo#2019-06-01#01,40,nanonets,phi4,0.0,0.0,0.0,0.0,29.510828256607056,13.97081446647644,7.444403171539307,50.9260458946228
trome#2017-03-11#26,43,rolmocr,phi4,0.0,0.0,0.0,0.0,0.13842034339904785,47.34776449203491,10.39831280708313,57.88449764251709
peru21#2016-08-11#16,44,olmocr,phi4,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.05052590370178223,0.0,0.0,0.05052590370178223
peru21#2013-08-07#01,23,nanonets,phi4,0.0,0.0,0.0,0.0,159.3469111919403,22.38723134994507,52.46760368347168,234.20174622535706
